CODIGO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,PRODUCTO,DAY,MONTH,YEAR,MONTH_YEAR,DAY_MONTH_YEAR,MONTH_NAME,TIPOCOMPRA_Compra menor,TIPOCOMPRA_Concurso,TGL_ALMACENABLE,TGL_TRANSITO,REGION,HOSPITAL,DEPARTMENT,PUR_CLUSTER,HOSP_CLUSTER
37,1595724/23,16,60,10,62.59,375.54,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,1,23,123,1123,1-January,1,0,0,1,1,2,60,3,0
1,72714/16,38,40,10,102.803729,411.214916,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1,2,16,216,1216,2-February,1,0,1,0,0,10,1,1,1
5,71961/16,40,20,5,12.1,48.4,APOSITO DE HIDROFIBRA  / CINTA-18,1,2,16,216,1216,2-February,1,0,0,1,0,4,111,3,0
19,72773/16,18,100,50,215.325,430.65,APOSITO DE ESPUMA POLIURETANO / SACRO-11,1,2,16,216,1216,2-February,0,1,1,0,0,10,1,2,1
14,86159/17,19,300,300,792.0,792.0,APOSITO C/ CARBON Y PLATA-6,1,2,17,217,1217,2-February,0,1,1,0,0,6,1,2,1
25,86264/17,11,80,10,53.888999,431.111992,APOSITO DE FIBRAS DE POLIACRILATO-3,1,2,17,217,1217,2-February,0,1,1,0,0,0,2,2,1
26,86265/17,10,140,10,35.189001,492.646014,APOSITO MALLADO C/ PARAFINA-39,1,2,17,217,1217,2-February,0,1,1,0,0,6,1,2,1
27,86147/17,47,600,10,20.9,1254.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,2,17,217,1217,2-February,1,0,1,0,0,13,1,1,1
5,91119/18,40,40,5,12.1,96.8,APOSITO DE HIDROFIBRA  / CINTA-18,1,2,18,218,1218,2-February,1,0,0,1,0,11,153,3,0
7,92073/18,45,100,100,539.0055,539.0055,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,2,18,218,1218,2-February,0,1,1,0,0,0,2,2,1
13,91173/18,1,350,350,577.5,577.5,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,1,2,18,218,1218,2-February,0,1,0,1,0,6,95,3,0
20,92038/18,30,882,3,1.8513,544.2822,APOSITO DE HIDROCOLOIDE-9,1,2,18,218,1218,2-February,1,0,1,0,0,0,2,1,1
27,92071/18,47,120,10,20.9,250.8,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,2,18,218,1218,2-February,1,0,1,0,0,0,2,1,1
31,92069/18,17,400,50,126.5,1012.0,APOSITO DE HIDROCOLOIDE-7,1,2,18,218,1218,2-February,0,1,1,0,0,13,1,2,1
10,101923/19,20,50,5,13.497,134.97,APOSITO DE HIDROCOLOIDE C/ PLATA-2,1,2,19,219,1219,2-February,1,0,0,1,0,0,37,3,0
17,101322/19,54,100,10,16.5,165.0,APOSITO DE ESPUMA POLIURETANO-8,1,2,19,219,1219,2-February,0,1,1,0,0,18,1,2,1
5,112428/21,40,50,5,12.1,121.0,APOSITO DE HIDROFIBRA  / CINTA-18,1,2,21,221,1221,2-February,1,0,0,1,0,18,178,3,0
5,109933/21,40,10,5,12.1,24.2,APOSITO DE HIDROFIBRA  / CINTA-18,1,2,21,221,1221,2-February,1,0,0,1,0,4,111,3,0
7,112639/21,45,65,5,26.399925,343.199025,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,2,21,221,1221,2-February,0,1,1,0,0,4,1,2,1
11,112752/21,3,3300,300,27.588,303.468,APÓSITO ABSORBENTE C/ ADHESIVO-22,1,2,21,221,1221,2-February,0,1,1,0,0,18,1,0,1
12,112752/21,4,900,300,49.302,147.906,APÓSITO ABSORBENTE C/ ADHESIVO-23,1,2,21,221,1221,2-February,0,1,1,0,0,18,1,2,1
15,113533/21,58,80,40,30.822,61.644,HIDROGEL-37,1,2,21,221,1221,2-February,0,1,1,0,0,4,1,2,1
15,113535/21,58,100,10,7.7055,77.055,HIDROGEL-37,1,2,21,221,1221,2-February,0,1,1,0,0,0,2,2,1
18,113420/21,9,200,10,15.345,306.9,APOSITO MALLADO C/ PARAFINA-38,1,2,21,221,1221,2-February,0,1,1,0,0,4,1,2,1
25,113419/21,11,160,80,429.44,858.88,APOSITO DE FIBRAS DE POLIACRILATO-3,1,2,21,221,1221,2-February,0,1,1,0,0,0,2,2,1
27,112621/21,47,150,10,18.59,278.85,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,2,21,221,1221,2-February,0,1,1,0,0,10,1,2,1
28,112749/21,7,10,10,65.56,65.56,APOSITO DE HIDROCOLOIDE C/ PLATA-5,1,2,21,221,1221,2-February,1,0,0,0,0,12,146,3,0
30,113416/21,14,90,10,131.89,1187.01,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,1,2,21,221,1221,2-February,0,1,1,0,0,10,1,2,1
33,111465/21,67,24,12,77.88,155.76,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,1,2,21,221,1221,2-February,1,0,0,1,0,12,101,3,0
36,113419/21,15,100,10,47.19,471.9,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1,2,21,221,1221,2-February,0,1,1,0,0,0,2,2,1
33,123149/22,67,12,12,77.88,77.88,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,1,2,22,222,1222,2-February,1,0,0,1,0,12,146,3,0
0,124328/23,39,10,1,13.189,131.89,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,1,2,23,223,1223,2-February,1,0,0,1,0,18,71,3,0
1,124544/23,38,220,10,134.431,2957.482,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1,2,23,223,1223,2-February,1,0,1,0,0,10,1,1,1
5,120359/23,40,15,5,12.1,36.3,APOSITO DE HIDROFIBRA  / CINTA-18,1,2,23,223,1223,2-February,1,0,0,1,0,14,50,3,0
41,125147/23,60,20,5,412.5,1650.0,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,2,23,223,1223,2-February,1,0,0,1,0,11,151,3,0
47,125134/23,49,10,5,114.95,229.9,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,1,2,23,223,1223,2-February,1,0,0,1,0,11,136,3,0
6,124697/23,46,350,10,42.349958,1482.24853,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1,2,23,223,1223,2-February,1,0,1,0,0,10,1,1,1
15,125481/23,58,540,10,7.7055,416.097,HIDROGEL-37,1,2,23,223,1223,2-February,0,1,1,0,0,10,1,2,1
18,125246/23,9,330,10,15.345,506.385,APOSITO MALLADO C/ PARAFINA-38,1,2,23,223,1223,2-February,1,0,1,0,0,10,1,1,1
20,124530/23,30,273,3,0.989571,90.050961,APOSITO DE HIDROCOLOIDE-9,1,2,23,223,1223,2-February,0,1,1,0,0,10,1,2,1
25,125354/23,11,70,10,53.68,375.76,APOSITO DE FIBRAS DE POLIACRILATO-3,1,2,23,223,1223,2-February,1,0,1,0,0,18,1,1,1
26,125246/23,10,200,10,34.98,699.6,APOSITO MALLADO C/ PARAFINA-39,1,2,23,223,1223,2-February,1,0,1,0,0,10,1,1,1
27,124697/23,47,670,10,18.59,1245.53,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,2,23,223,1223,2-February,1,0,1,0,0,10,1,1,1
27,124705/23,47,1000,10,18.59,1859.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,2,23,223,1223,2-February,1,0,1,0,0,13,1,1,1
34,125704/23,29,480,240,654.72372,1309.44744,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,1,2,23,223,1223,2-February,0,1,1,0,0,10,1,2,1
37,120356/23,16,30,10,62.59,187.77,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,2,23,223,1223,2-February,1,0,0,1,0,14,50,3,0
37,125324/23,16,20,10,62.59,125.18,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,2,23,223,1223,2-February,1,0,0,1,0,12,80,3,0
37,124282/23,16,100,10,62.59,625.9,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,2,23,223,1223,2-February,1,0,0,1,0,15,16,3,0
39,125146/23,44,20,10,733.21,1466.42,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,1,2,23,223,1223,2-February,1,0,0,1,0,11,113,3,0
44,125134/23,48,2,1,111.1022,222.2044,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,1,2,23,223,1223,2-February,1,0,0,1,0,11,136,3,0
7,146560/16,45,250,5,29.15,1457.5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,3,16,316,1316,3-March,1,0,1,0,0,10,1,1,1
12,146680/16,4,600,300,61.722222,123.444444,APÓSITO ABSORBENTE C/ ADHESIVO-23,1,3,16,316,1316,3-March,1,0,1,0,0,0,2,1,1
16,146940/16,23,140,70,493.416,986.832,APOSITO MALLADO C/ SILICONA-0,1,3,16,316,1316,3-March,1,0,1,0,0,10,1,1,1
20,146553/16,32,900,3,1.8513,555.39,APOSITO DE HIDROCOLOIDE-9,1,3,16,316,1316,3-March,1,0,1,0,0,0,2,1,1
7,161877/17,45,350,5,26.950275,1886.51925,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,3,17,317,1317,3-March,0,1,1,0,0,13,1,2,1
10,162355/17,20,50,5,13.497,134.97,APOSITO DE HIDROCOLOIDE C/ PLATA-2,1,3,17,317,1317,3-March,1,0,0,1,0,0,13,3,0
32,162035/17,66,220,10,61.40211,1350.84642,APOSITO C/ CARBON Y PLATA-4,1,3,17,317,1317,3-March,0,1,1,0,0,18,1,2,1
10,176774/18,20,50,5,13.497,134.97,APOSITO DE HIDROCOLOIDE C/ PLATA-2,1,3,18,318,1318,3-March,1,0,0,1,0,0,51,3,0
15,176389/18,37,300,5,5.24537,314.7222,HIDROGEL-37,1,3,18,318,1318,3-March,1,0,1,0,0,13,1,1,1
14,176455/18,19,600,300,792.0,1584.0,APOSITO C/ CARBON Y PLATA-6,1,3,18,318,1318,3-March,1,0,1,0,0,13,1,1,1
21,176634/18,21,1000,1000,10.461204,10.461204,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,3,18,318,1318,3-March,1,0,1,0,0,0,2,1,1
21,176635/18,21,2000,1000,10.461204,20.922408,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,3,18,318,1318,3-March,1,0,1,0,0,13,1,1,1
27,176448/18,47,240,10,20.9,501.6,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,3,18,318,1318,3-March,1,0,1,0,0,0,2,1,1
6,188447/19,46,150,10,42.9,643.5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1,3,19,319,1319,3-March,1,0,1,0,0,10,1,1,1
7,188445/19,45,100,100,539.0055,539.0055,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,3,19,319,1319,3-March,0,1,1,0,0,0,2,2,1
25,188655/19,11,300,10,53.888999,1616.66997,APOSITO DE FIBRAS DE POLIACRILATO-3,1,3,19,319,1319,3-March,0,1,1,0,0,10,1,2,1
27,188447/19,47,160,10,20.9,334.4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,3,19,319,1319,3-March,1,0,1,0,0,10,1,1,1
23,226928/22,27,30,5,5.6529,33.9174,APOSITO DE HIDROCOLOIDE-3,1,3,22,322,1322,3-March,0,1,1,0,0,4,1,2,1
